ID_JOURNAL_COMPTABLE;CODE_JOURNAL_COMPTABLE;LIB_RED_JOURNAL_COMPTABLE;LIB_JOURNAL_COMPTABLE;INDIC_REPORT_A_NOUVEAU;CODE_SOCIETE;
HLM ODE;ODE;VenteONV  ;Vente solde à ONV       ;NULL;N/A;
ONV ODE;ODE;VenteONV  ;Vente à ONV             ;NULL;ONV;
V90 ODE;ODE;VenteONV  ;Vente à ONV             ;NULL;V90;
HLM RAD;RAD;RAN DMX   ;REPRISE RAN DOMAXIS     ;NULL;N/A;
V90 RAD;RAD;RAN DMX   ;REPRISE RAN DOMAXIS     ;NULL;V90;
ONV ODS;ODS;OD SINISTR;OPER.DIVERSES SINISTRE  ;NULL;ONV;
ONV REM;REM;REMB EMP  ;REMBOURSEMENT EMPRUNTS  ;NULL;ONV;
HLM ODH;ODH;AchatSlV90;Achat solde CA à V90    ;NULL;N/A;
HLM OAP;OAP;APL ONV   ;APL ONV                 ;NULL;N/A;
ONV OAP;OAP;APL ONV   ;APL ONV                 ;NULL;ONV;
ADL ODS;ODS;OD SINISTR;OPER.DIVERSES SINISTRE  ;NULL;ADL;
FOY ODS;ODS;OD SINISTR;OPER.DIVERSES SINISTRE  ;NULL;N/A;
INT ODS;ODS;OD SINISTR;OPER.DIVERSES SINISTRE  ;NULL;N/A;
SES ODS;ODS;OD SINISTR;OPER.DIVERSES SINISTRE  ;NULL;SES;
ADL RAB;RAB;RAN REP   ;RAN REPRISE ADLIS       ;NULL;ADL;
INT RAB;RAB;RAN REP   ;RAN REPRISE ADLIS       ;NULL;N/A;
HLM ODK;ODK;CorEcrFOY ;Correct° écritures FOY  ;NULL;N/A;
V90 ODK;ODK;CorEcrFOY ;Correct° écritures FOY  ;NULL;V90;
SES RE0;RE0;REGLT ZER ;REGLEMENT A ZERO        ;NULL;SES;
V90 RE0;RE0;REGLT ZER ;REGLEMENT A ZERO        ;NULL;V90;
SEA RE0;RE0;REGLT ZER ;REGLEMENT A ZERO        ;NULL;SEA;
HLM BC8;BC8;ARKEA DIV ;ARKEA DIV 52672504144   ;NULL;N/A;
V90 BC8;BC8;ARKEA DIV ;ARKEA DIV 52672504144   ;NULL;V90;
HLM ON2;ON2;BQ ONV BP ;BANQUE ONV BP           ;NULL;N/A;
ONV ON2;ON2;BQ ONV BP ;BANQUE ONV BP           ;NULL;ONV;
ACC ODC;ODC;OD CLOTURE;OD CLOTURE              ;NULL;N/A;
ADL ODC;ODC;OD CLOTURE;OD CLOTURE              ;NULL;ADL;
INT ODC;ODC;OD CLOTURE;OD CLOTURE              ;NULL;N/A;
SEA ODC;ODC;OD CLOTURE;OD CLOTURE              ;NULL;SEA;
HLM OVA;OVA;OD ONV    ;OD ONV VACANCE          ;NULL;N/A;
ONV OVA;OVA;OD ONV VAC;OD ONV VACANCE          ;NULL;ONV;
FOY FBD;FBD;LBP DIV   ;LBP DIVID 4233959K020   ;NULL;N/A;
SES FBD;FBD;LBP DIV   ;LBP DIVID 4233959K020   ;NULL;SES;
SEM APL;APL;APL/AL    ;APL/AL                  ;NULL;SEM;
HLM TC4;TC4;BQ 8F0213 ;BANQUE POSTALE 8F0213   ;NULL;N/A;
V90 TC4;TC4;BQ 8F0213 ;BANQUE POSTALE 8F0213   ;NULL;V90;
ACC M10;M10;CA 4955256;CREDIT AGRICOLE 49552565;NULL;N/A;
SEA M10;M10;CA 4955256;CREDIT AGRICOLE 49552565;NULL;SEA;
SES PAP;PAP;PAP       ;POSTE A POSTE           ;NULL;SES;
V90 PAP;PAP;PAP       ;POSTE A POSTE           ;NULL;V90;
SEM RE0;RE0;REGLT ZER ;REGLEMENT A ZERO        ;NULL;SEM;
ART A01;A01;BRED      ;BRED PARIS 752632665    ;NULL;ART;
ART ACH;ACH;ACHATS    ;ACHATS                  ;NULL;ART;
ART ANA;ANA;OPE ANA   ;OPERATIONS ANALYTIQUES  ;NULL;ART;
ART BUD;BUD;OPE BUDGET;OPERATIONS BUDGETAIRES  ;NULL;ART;
ART FNP;FNP;OD FNP    ;OD FNP AUTO ET MANUEL   ;NULL;ART;
ART LIA;LIA;LIAISON   ;LIAISON AUTO.           ;NULL;ART;
ART ODC;ODC;OD CLOTURE;OD CLOTURE              ;NULL;ART;
ART ODF;ODF;OD        ;OPERATIONS DIVERSES     ;NULL;ART;
ART ODG;ODG;O.D       ;OPERATIONS DIVERSES     ;NULL;ART;
ART ODT;ODT;OD TVA    ;OPER.DIVERSES TVA       ;NULL;ART;
ART RAN;RAN;A NOUVEAU ;REPORT A NOUVEAU        ;NULL;ART;
ART REM;REM;REMB EMP  ;REMBOURSEMENT EMPRUNTS  ;NULL;ART;
ART WIM;WIM;WIM       ;Interface WIM           ;NULL;ART;
CHA ACH;ACH;ACHATS    ;ACHATS                  ;NULL;CHA;
CHA ANA;ANA;OPE ANA   ;OPERATIONS ANALYTIQUES  ;NULL;CHA;
CHA BUD;BUD;OPE BUDGET;OPERATIONS BUDGETAIRES  ;NULL;CHA;
CHA C01;C01;BRED      ;BRED 4180 3554 979      ;NULL;CHA;
CHA C02;C02;ARKEA     ;ARKEA 8819 1634 048     ;NULL;CHA;
CHA C03;C03;CE IDF    ;CE IDF 9707 835         ;NULL;CHA;
CHA C04;C04;ARKEA     ;ARKEA 16301 68          ;NULL;CHA;
CHA FNP;FNP;OD FNP    ;OD FNP AUTO ET MANUEL   ;NULL;CHA;
CHA LIA;LIA;LIAISON   ;LIAISON AUTO.           ;NULL;CHA;
HLM LA3;LA3;C.A LIVRET;C.A LIVRET HABITAT SOCIA;NULL;N/A;
V90 LA3;LA3;C.A LIVRET;C.A LIVRET HABITAT SOCIA;NULL;V90;
CHA ODC;ODC;OD CLOTURE;OD CLOTURE              ;NULL;CHA;
CHA ODF;ODF;OD        ;OPERATIONS DIVERSES     ;NULL;CHA;
CHA ODG;ODG;O.D       ;OPERATIONS DIVERSES     ;NULL;CHA;
CHA ODT;ODT;OD TVA    ;OPER.DIVERSES TVA       ;NULL;CHA;
CHA RAN;RAN;A NOUVEAU ;REPORT A NOUVEAU        ;NULL;CHA;
CHA REM;REM;REMB EMP  ;REMBOURSEMENT EMPRUNTS  ;NULL;CHA;
CHA WIM;WIM;WIM       ;Interface WIM           ;NULL;CHA;
LOG ACH;ACH;ACHATS    ;ACHATS                  ;NULL;LOG;
LOG ANA;ANA;OPE ANA   ;OPERATIONS ANALYTIQUES  ;NULL;LOG;
LOG BUD;BUD;OPE BUDGET;OPERATIONS BUDGETAIRES  ;NULL;LOG;
LOG FNP;FNP;OD FNP    ;OD FNP AUTO ET MANUEL   ;NULL;LOG;
LOG LE1;LE1;BRED      ;BRED 9101 8366 021      ;NULL;LOG;
LOG LE2;LE2;LIVRET A  ;LIVRET A 00416420 BRED  ;NULL;LOG;
LOG LIA;LIA;LIAISON   ;LIAISON AUTO.           ;NULL;LOG;
LOG MIG;MIG;RepMigr   ;Reprise Migration       ;NULL;LOG;
LOG ODC;ODC;OD CLOTURE;OD CLOTURE              ;NULL;LOG;
LOG ODF;ODF;OD        ;OPERATIONS DIVERSES     ;NULL;LOG;
LOG ODG;ODG;O.D       ;OPERATIONS DIVERSES     ;NULL;LOG;
LOG ODT;ODT;OD TVA    ;OPER.DIVERSES TVA       ;NULL;LOG;
LOG RAN;RAN;A NOUVEAU ;REPORT A NOUVEAU        ;NULL;LOG;
CHA ODR;ODR;REP OD    ;REPRISE OD QUALIAC      ;NULL;CHA;
CHA RAR;RAR;REP RAN   ;REPRISE RAN QUALIAC     ;NULL;CHA;
LOG ODR;ODR;REP OD    ;REPRISE OD QUALIAC      ;NULL;LOG;
LOG RAR;RAR;REP RAN   ;REPRISE RAN QUALIAC     ;NULL;LOG;
AC4 A01;A01;BRED      ;BRED PARIS 752632665    ;NULL;N/A;
AC4 ACH;ACH;ACHATS    ;ACHATS                  ;NULL;N/A;
AC4 ANA;ANA;OPE ANA   ;OPERATIONS ANALYTIQUES  ;NULL;N/A;
HLM BC5;BC5;ARKEA LIVR;ARKEA LIVRET A          ;NULL;N/A;
V90 BC5;BC5;ARKEA LIVR;ARKEA LIVRET A          ;NULL;V90;
AC4 BUD;BUD;OPE BUDGET;OPERATIONS BUDGETAIRES  ;NULL;N/A;
AC4 FNP;FNP;OD FNP    ;OD FNP AUTO ET MANUEL   ;NULL;N/A;
AC4 LIA;LIA;LIAISON   ;LIAISON AUTO.           ;NULL;N/A;
AC4 ODC;ODC;OD CLOTURE;OD CLOTURE              ;NULL;N/A;
AC4 ODF;ODF;OD        ;OPERATIONS DIVERSES     ;NULL;N/A;
AC4 ODG;ODG;O.D       ;OPERATIONS DIVERSES     ;NULL;N/A;
AC4 ODT;ODT;OD TVA    ;OPER.DIVERSES TVA       ;NULL;N/A;
AC4 RAN;RAN;A NOUVEAU ;REPORT A NOUVEAU        ;NULL;N/A;
AC4 REM;REM;REMB EMP  ;REMBOURSEMENT EMPRUNTS  ;NULL;N/A;
AC4 WIM;WIM;WIM       ;Interface WIM           ;NULL;N/A;
SLA ODI;ODI;OD LUTECE ;OD LA LUTECE            ;NULL;SLA;
HLM S26;S26;CA CPT EXC;CA CPT EXCEDENT ENT     ;NULL;N/A;
V90 S26;S26;CA CPT EXC;CA CPT EXCEDENT ENT     ;NULL;V90;
SES ICH;ICH;IMMO CHG  ;IMMOS VERS CHARGES      ;NULL;SES;
SES IST;IST;IMMOS STK ;IMMOS VERS STOCKS       ;NULL;SES;
SES SCE;SCE;SALVIA CES;SALVIA CESSIONS         ;NULL;SES;
SES SDE;SDE;SALVIA DEM;SALVIA DEMOLITION       ;NULL;SES;
SES SLO;SLO;SALVIA LIV;SALVIA LIV OPERATIONS   ;NULL;SES;
SES SSC;SSC;SALVIA SOR;SALVIA SORTIE COMPOSANTS;NULL;SES;
V90 ICH;ICH;IMMO CHG  ;IMMOS VERS CHARGES      ;NULL;V90;
V90 IST;IST;IMMOS STK ;IMMOS VERS STOCKS       ;NULL;V90;
V90 SCE;SCE;SALVIA CES;SALVIA CESSIONS         ;NULL;V90;
V90 SDE;SDE;SALVIA DEM;SALVIA DEMOLITION       ;NULL;V90;
V90 SLO;SLO;SALVIA LIV;SALVIA LIV OPERATIONS   ;NULL;V90;
V90 SSC;SSC;SALVIA SOR;SALVIA SORTIE COMPOSANTS;NULL;V90;
ADL RE0;RE0;REGLT ZER ;REGLEMENT A ZERO        ;NULL;ADL;
HLM BD1;BD1;ARKEA DIC ;ARKEA DIV 00526725043   ;NULL;N/A;
V90 BD1;BD1;ARKEA DIV ;ARKEA DIV 00526725043   ;NULL;V90;
V90 APU;APU;APP FRS   ;APPUREMENT FRS          ;NULL;V90;
HLM BCB;BCB;ARKEA DIV ;ARKEA DIV 00526725043   ;NULL;N/A;
V90 BCB;BCB;ARKEA DIV ;ARKEA DIV 00526725043   ;NULL;V90;
ACC ECH;ECH;ECH EMPRUN;ECHEANCES EMPRUNTS      ;NULL;N/A;
ACC ENC;ENC;ENC EMPRUN;ENCAISSEMENT EMPRUNTS   ;NULL;N/A;
ACC SUR;SUR;RBT RA    ;REMBT ANTICIPES SURFIN  ;NULL;N/A;
FOY ECH;ECH;ECH EMPRUN;ECHEANCES EMPRUNTS      ;NULL;N/A;
FOY ENC;ENC;ENC EMPRUN;ENCAISSEMENT EMPRUNTS   ;NULL;N/A;
FOY SUR;SUR;RBT RA    ;REMBT ANTICIPES SURFIN  ;NULL;N/A;
HLM ECH;ECH;ECH EMPRUN;ECHEANCES EMPRUNTS      ;NULL;N/A;
HLM ENC;ENC;ENC EMPRUN;ENCAISSEMENT EMPRUNTS   ;NULL;N/A;
HLM SUR;SUR;RBT RA    ;REMBT ANTICIPES SURFIN  ;NULL;N/A;
SEA ECH;ECH;ECH EMPRUN;ECHEANCES EMPRUNTS      ;NULL;SEA;
SEA ENC;ENC;ENC EMPRUN;ENCAISSEMENT EMPRUNTS   ;NULL;SEA;
SEA SUR;SUR;RBT RA    ;REMBT ANTICIPES SURFIN  ;NULL;SEA;
SES ECH;ECH;ECH EMPRUN;ECHEANCES EMPRUNTS      ;NULL;SES;
SES ENC;ENC;ENC EMPRUN;ENCAISSEMENT EMPRUNTS   ;NULL;SES;
SES SUR;SUR;RBT RA    ;REMBT ANTICIPES SURFIN  ;NULL;SES;
V90 ECH;ECH;ECH EMPRUN;ECHEANCES EMPRUNTS      ;NULL;V90;
V90 ENC;ENC;ENC EMPRUN;ENCAISSEMENT EMPRUNTS   ;NULL;V90;
V90 SUR;SUR;RBT RA    ;REMBT ANTICIPES SURFIN  ;NULL;V90;
HLM ON1;ON1;BANQUE ONV;BANQUE ONV              ;NULL;N/A;
ONV ON1;ON1;BANQUE ONV;BANQUE ONV              ;NULL;ONV;
ONV ODH;ODH;VtsSldONV ;vente solde CA à ONV    ;NULL;ONV;
ONV WIM;WIM;WIM       ;Interface WIM           ;NULL;ONV;
SEA WIM;WIM;WIM       ;Interface WIM           ;NULL;SEA;
SES WIM;WIM;WIM       ;Interface WIM           ;NULL;SES;
V90 WIM;WIM;WIM       ;Interface WIM           ;NULL;V90;
HLM ODJ;ODJ;OD ONV    ;OD ONV                  ;NULL;N/A;
ONV ODJ;ODJ;OD ONV    ;OD ONV                  ;NULL;ONV;
SEM ODS;ODS;OD SINISTR;OPER.DIVERSES SINISTRE  ;NULL;SEM;
FOY FAK;FAK;ARKEA LIV ;ARKEA LIVRET B 516301   ;NULL;N/A;
FOY FBL;FBL;LA BPLIV  ;LA BP LIVRET A 516204   ;NULL;N/A;
FOY FCA;FCA;CA 3122897;CA 31228971001          ;NULL;N/A;
FOY FCL;FCL;CA CSL    ;CA CSL 65007710768      ;NULL;N/A;
FOY FS1;FS1;CE CSL3484;CE CSL 3484             ;NULL;N/A;
SES FAK;FAK;ARKEA LIV ;ARKEA LIVRET B 516301   ;NULL;SES;
SES FBL;FBL;LA BPLIV  ;LA BP LIVRET A 516204   ;NULL;SES;
SES FCA;FCA;CA 3122897;CA 31228971001          ;NULL;SES;
SES FCL;FCL;CA CSL    ;CA CSL 65007710768      ;NULL;SES;
SES FS1;FS1;CE CSL3484;CE CSL 3484             ;NULL;SES;
HLM ODR;ODR;OD SLA    ;OD SLA                  ;NULL;N/A;
SLA ODR;ODR;OD SLA    ;OD SLA                  ;NULL;SLA;
HLM LA1;LA1;CA LF     ;CREDIT AGRICOLE LF      ;NULL;N/A;
HLM LA2;LA2;CA LECLERC;CREDIT AGRICOLE LECLERC ;NULL;N/A;
HLM LC1;LC1;CCP LF    ;CCP LF                  ;NULL;N/A;
HLM LC2;LC2;CCP LIV LF;CCP LIVRET A LF         ;NULL;N/A;
HLM LD1;LD1;CDC LF    ;CDC LF                  ;NULL;N/A;
HLM LD2;LD2;CDC LF    ;CDC LF                  ;NULL;N/A;
HLM LE1;LE1;CE LF     ;CAISSE D'EPARGNE LF     ;NULL;N/A;
HLM LF1;LF1;CFB LF    ;CFB LF                  ;NULL;N/A;
HLM LL1;LL1;CLF LF    ;CLF LF                  ;NULL;N/A;
HLM NG1;NG1;SG GEN LEC;SG GENERAL LECLERC      ;NULL;N/A;
HLM NG2;NG2;CE PARIS  ;CAISSE EPARGNE PARIS    ;NULL;N/A;
HLM NG3;NG3;CCP 069   ;CCP GENERAL LECLERC     ;NULL;N/A;
HLM ODA;ODA;OD AOTEP  ;OD AOTEP                ;NULL;N/A;
HLM ODF;ODF;OD FH     ;OD FH                   ;NULL;N/A;
HLM ODG;ODG;OD        ;ODG                     ;NULL;N/A;
HLM ODI;ODI;OD LUTECE ;OD LA LUTECE            ;NULL;N/A;
HLM ODL;ODL;OD LF     ;OD LF                   ;NULL;N/A;
HLM ODN;ODN;OD GEN LEC;OD GENERAL LECLERC      ;NULL;N/A;
HLM ODO;ODO;OD POT GOP;OD POT GOP              ;NULL;N/A;
HLM ODP;ODP;OD FH PRET;OD FH PRETS             ;NULL;N/A;
HLM ODS;ODS;OD SFL    ;OD SOFILOGIS            ;NULL;N/A;
HLM PAI;PAI;PAIE FH   ;PAIE FH                 ;NULL;N/A;
HLM QFH;QFH;QUITT FH  ;QUITTANCEMENT FH        ;NULL;N/A;
HLM QFP;QFP;QUITT V90P;QUITTANCEMENT V90P PRETS;NULL;N/A;
HLM QLC;QLC;QUITT     ;QUITTANCEMENT 069       ;NULL;N/A;
HLM QLF;QLF;QUITT     ;QUITTANCEMENT T60       ;NULL;N/A;
HLM QSH;QSH;QUIT SFL  ;QUITTANCEMENT SOFILOGIS ;NULL;N/A;
HLM QUA;QUA;QUITT AOTE;QUITT. AOTEP            ;NULL;N/A;
HLM QUI;QUI;QUITTANCEM;QUIT A LA DEMANDE HLM   ;NULL;N/A;
HLM QUT;QUT;QUITT LUTE;QUITT. LA LUTECE        ;NULL;N/A;
HLM RA1;RA1;REG RAN   ;REGUL REPORT A NOUVEAU  ;NULL;N/A;
HLM RAA;RAA;RAN AOTEP ;REPORT A NOUVEAU AOTEP  ;NULL;N/A;
HLM RAF;RAF;RAN EX LF ;RAN EX LOGTS FAMIL      ;NULL;N/A;
HLM RAL;RAL;RAN EX LUT;RAN EX LUTECE           ;NULL;N/A;
HLM REC;REC;CH LO FO C;REG CH.LOC FORF CREDIT  ;NULL;N/A;
HLM RED;RED;CH LO FO D;REG CH.LOC FORF DEBIT   ;NULL;N/A;
HLM REP;REP;REPRISE H ;REPRISE HLM             ;NULL;N/A;
HLM RPL;RPL;REP PAT LY;REPRISE PATRIMOINE LYON ;NULL;N/A;
HLM SA1;SA1;CA SFL    ;CREDIT AGRICOLE SOFILOGI;NULL;N/A;
HLM SC1;SC1;CCP SFL   ;CCP SOFILOGIS           ;NULL;N/A;
HLM SC2;SC2;CCP LOGIRE;CCP LOGIREL             ;NULL;N/A;
HLM SD1;SD1;CDC SFL   ;CDC SOFILOGIS           ;NULL;N/A;
HLM SE1;SE1;CA SFL    ;CAISSE EPARGNE SOFILOGIS;NULL;N/A;
HLM SE2;SE2;CE SOFIREL;CAISSE EPARGNE SOFIREL  ;NULL;N/A;
HLM SV1;SV1;BQ VEGA FI;BQE VEGA FINANCE SFL    ;NULL;N/A;
HLM TB1;TB1;BNP LUTECE;BNP LUTECE              ;NULL;N/A;
HLM TC1;TC1;CCP LUTECE;CCP LUTECE              ;NULL;N/A;
HLM TD1;TD1;CDC LUTECE;CDC LUTECE              ;NULL;N/A;
HLM TD2;TD2;CDC LUTECE;CDC LUTECE BOBIGNY      ;NULL;N/A;
HLM TE1;TE1;CE LUTECE ;CE LUTECE               ;NULL;N/A;
HLM TE2;TE2;CE LIV LUT;CE LIVRET A LUTECE      ;NULL;N/A;
HLM TE3;TE3;CE LIV LUT;CE LIVRET A LUTECE      ;NULL;N/A;
HLM TE7;TE7;LIV CE LUT;LIVRET C.EPARGNE LUTECE ;NULL;N/A;
HLM TE8;TE8;CE CPT LIV;CE COMPTE SUR LIVRET    ;NULL;N/A;
HLM ZD1;ZD1;REP PAI DG;REPRISE PAIEMENTS DG V90;NULL;N/A;
HLM ZD2;ZD2;REP PAI DG;REPRISE PAIEMENTS DG S50;NULL;N/A;
HLM ZD3;ZD3;REP PAI DG;REPRISE PAIEMENTS DG U70;NULL;N/A;
HLM ZDG;ZDG;REP. DEPOT;REPRISE DEPOTS GARANTIES;NULL;N/A;
HLM ZS1;ZS1;REP SOLDE ;REPRISE SOLDE LOC AOTEP ;NULL;N/A;
HLM ZS2;ZS2;REP SOLDE ;REPRISE SOLDE LOC LUTECE;NULL;N/A;
HLM ZS3;ZS3;REP CA SFL;REPRISE CA SFL          ;NULL;N/A;
HLM ZSO;ZSO;REP. SOLDE;REPRISE SOLDE LOC. FH   ;NULL;N/A;
ACC M09;M09;ARKEA DIV ;ARKEA DIV 0165317844149 ;NULL;N/A;
HLM BC9;BC9;ARKEA DIV ;ARKEA DIV 0052672504241 ;NULL;N/A;
SEA M09;M09;ARKEA DIV ;ARKEA DIV 0165317844149 ;NULL;SEA;
V90 BC9;BC9;ARKEA DIV ;ARKEA DIV 0052672504241 ;NULL;V90;
HLM ODB;ODB;OD FC-BL  ;OD FC-BL-SL-KM V90      ;NULL;N/A;
HLM ODC;ODC;OD CLOTURE;OD CLOTURE              ;NULL;N/A;
V90 ODB;ODB;OD FC-BL  ;OD FC-BL-SL-KM V90      ;NULL;V90;
V90 ODC;ODC;OD CLOTURE;OD CLOTURE              ;NULL;V90;
ONV ACH;ACH;ACHATS    ;ACHATS                  ;NULL;ONV;
ONV ANA;ANA;OPE ANA   ;OPERATIONS ANALYTIQUES  ;NULL;ONV;
ONV APL;APL;APL/AL FH ;APL/AL FH               ;NULL;ONV;
ONV BUD;BUD;OPE BUDGET;OPERATIONS BUDGETAIRES  ;NULL;ONV;
ONV FAC;FAC;Jnl Fact  ;Journal de facturation  ;NULL;ONV;
ONV LIA;LIA;LIAISON   ;LIAISON AUTO.           ;NULL;ONV;
ONV MIG;MIG;RepMigr   ;Reprise Migration       ;NULL;ONV;
ONV ODF;ODF;OD        ;OPERATIONS DIVERSES     ;NULL;ONV;
ONV ODG;ODG;O.D       ;OPERATIONS DIVERSES     ;NULL;ONV;
ONV ODL;ODL;OD LOC    ;OD LOCATIVE             ;NULL;ONV;
ONV ODT;ODT;OD TVA    ;OPER.DIVERSES TVA       ;NULL;ONV;
ONV RAN;RAN;A NOUVEAU ;REPORT A NOUVEAU        ;NULL;ONV;
ONV QFH;QFH;QUITT FH  ;QUITTANCEMENT FH        ;NULL;ONV;
ONV QUI;QUI;QUITTANCEM;QUIT A LA DEMANDE HLM   ;NULL;ONV;
SEA RAE;RAE;RAN SEA   ;REPRISE RAN SEA         ;NULL;SEA;
ADL FNP;FNP;OD FNP    ;OD FNP AUTO ET MANUEL   ;NULL;ADL;
ONV FNP;FNP;OD FNP    ;OD FNP AUTO ET MANUEL   ;NULL;ONV;
SEA FNP;FNP;OD FNP    ;OD FNP AUTO ET MANUEL   ;NULL;SEA;
SES FNP;FNP;OD FNP    ;OD FNP AUTO ET MANUEL   ;NULL;SES;
SLA FNP;FNP;OD FNP    ;OD FNP AUTO ET MANUEL   ;NULL;SLA;
V90 FNP;FNP;OD FNP    ;OD FNP AUTO ET MANUEL   ;NULL;V90;
AC2 ACH;ACH;ACHATS    ;ACHATS                  ;NULL;N/A;
AC2 ANA;ANA;OPE ANA   ;OPERATIONS ANALYTIQUES  ;NULL;N/A;
AC2 B01;B01;BRED PARIS;BRED PARIS              ;NULL;N/A;
AC2 BUD;BUD;OPE BUDGET;OPERATIONS BUDGETAIRES  ;NULL;N/A;
AC2 FNP;FNP;OD FNP    ;OD FNP AUTO ET MANUEL   ;NULL;N/A;
AC2 LIA;LIA;LIAISON   ;LIAISON AUTO.           ;NULL;N/A;
AC2 ODC;ODC;OD CLOTURE;OD CLOTURE              ;NULL;N/A;
AC2 ODF;ODF;OD        ;OPERATIONS DIVERSES     ;NULL;N/A;
AC2 ODG;ODG;O.D       ;OPERATIONS DIVERSES     ;NULL;N/A;
AC2 ODT;ODT;OD TVA    ;OPER.DIVERSES TVA       ;NULL;N/A;
AC2 RAN;RAN;A NOUVEAU ;REPORT A NOUVEAU        ;NULL;N/A;
AC2 RE0;RE0;REGLT ZER ;REGLEMENT A ZERO        ;NULL;N/A;
AC2 REM;REM;REMB EMP  ;REMBOURSEMENT EMPRUNTS  ;NULL;N/A;
AC2 WIM;WIM;WIM       ;Interface WIM           ;NULL;N/A;
ADL AD6;AD6;CE LIVRETA;ADL CE LIVRET A         ;NULL;ADL;
INT AD6;AD6;CE LIV A  ;ADL CE LIVRET A         ;NULL;N/A;
V90 AD1;AD1;CDC AOTEP ;CDC AOTEP               ;NULL;V90;
V90 AE1;AE1;CE FH     ;CE France Habitation    ;NULL;V90;
V90 AE2;AE2;CE AOTEP  ;CE AOTEP                ;NULL;V90;
V90 AE3;AE3;CE AOTEP  ;CE AOTEP                ;NULL;V90;
V90 AE4;AE4;CE AOTEP  ;CE AOTEP                ;NULL;V90;
V90 AE5;AE5;CE AOTEP  ;CE AOTEP                ;NULL;V90;
V90 AE6;AE6;CE AO LYON;Caisse d'Epargne Lyon   ;NULL;V90;
V90 AE7;AE7;LIV CE AOT;LIVRET C.EPARGNE AOTEP  ;NULL;V90;
V90 AE8;AE8;CE DONATIO;C.E DONATION            ;NULL;V90;
V90 ANA;ANA;OPE ANA   ;OPERATIONS ANALYTIQUES  ;NULL;V90;
V90 AP1;AP1;TP AOTEP  ;TRESOR PUBLIC AOTEP     ;NULL;V90;
V90 APL;APL;APL/AL    ;APL/AL                  ;NULL;V90;
V90 BC1;BC1;B.C.M.E   ;B.C.M.E                 ;NULL;V90;
V90 BC2;BC2;ACTIV EP1 ;ACTIV EPARGNE 1         ;NULL;V90;
V90 BC3;BC3;ACTIV EP2 ;ACTIV EPARGNE 2         ;NULL;V90;
V90 BC4;BC4;LIV INSTIT;LIVRET INSTITUTIONNEL   ;NULL;V90;
V90 BUD;BUD;OPE BUDGET;OPERATIONS BUDGETAIRES  ;NULL;V90;
V90 CAA;CAA;CAI AOTEP ;CAISSE AOTEP            ;NULL;V90;
V90 CAF;CAF;CAISSE FH ;CAISSE FH               ;NULL;V90;
V90 CAL;CAL;CAISSE LF ;CAISSE LF               ;NULL;V90;
V90 CAN;CAN;CAISSE GL ;CAISSE GEN LECLERC      ;NULL;V90;
V90 CAP;CAP;CAISSE FHP;CAISSE PRETS FH         ;NULL;V90;
V90 CAT;CAT;CAI LUTECE;CAISSE LA LUTECE        ;NULL;V90;
V90 CPM;CPM;CAP MANUEL;CAP MANUELLES           ;NULL;V90;
V90 EMP;EMP;EMPRUNTS  ;EMPRUNTS                ;NULL;V90;
V90 EUR;EUR;BASC. EURO;BASCULE EURO            ;NULL;V90;
V90 FC1;FC1;CCP       ;CCP                     ;NULL;V90;
V90 FD1;FD1;CDC       ;CAISSE DES DEPOTS ET CON;NULL;V90;
V90 FD2;FD2;CDC V90P  ;CDC FH PRETS            ;NULL;V90;
V90 FE1;FE1;CE        ;CAISSE D'EPARGNE        ;NULL;V90;
V90 FE2;FE2;CE HLM ACC;CAISSE D'EPARGNE HLM ACC;NULL;V90;
V90 FE3;FE3;CE AQUITAI;CAISSE D'EPARGNE AQUITAI;NULL;V90;
V90 FE4;FE4;CE AUGCAP ;CE AUG CAPITAL          ;NULL;V90;
V90 FE5;FE5;CEPARIS FH;CAISSE EPARGNE PARIS    ;NULL;V90;
V90 FF1;FF1;CF FH1    ;CREDIT FONCIER  FH (1)  ;NULL;V90;
V90 FF2;FF2;CFB  FH2  ;CREDIT FONCIER  FH (2)  ;NULL;V90;
V90 FG1;FG1;SG        ;STE GENERALE            ;NULL;V90;
V90 FG2;FG2;SG CHARTRE;STE GENERALE CHARTRES   ;NULL;V90;
V90 FG3;FG3;SG LYON   ;STE GENERALE LYON SENIC ;NULL;V90;
V90 FG4;FG4;SG CAEN   ;STE GENERALE CAEN TIRARD;NULL;V90;
V90 FG5;FG5;SG TOULOUS;STE GENERALE TOULOUSE   ;NULL;V90;
V90 FG6;FG6;SG PRETS  ;STE GENERALE PRETS      ;NULL;V90;
V90 FL1;FL1;DEXIA     ;DEXIA CREDIT LOCAL      ;NULL;V90;
V90 HOR;HOR;HORS TRESO;ODG HORS TRESO          ;NULL;V90;
V90 INV;INV;INVENTAIRE;INVENTAIRE              ;NULL;V90;
V90 LA1;LA1;CA        ;CREDIT AGRICOLE         ;NULL;V90;
V90 LA2;LA2;CA LECLERC;CREDIT AGRICOLE LECLERC ;NULL;V90;
V90 LC1;LC1;CCP       ;CCP                     ;NULL;V90;
V90 LC2;LC2;CCP LIVR A;CCP LIVRET A            ;NULL;V90;
V90 LD1;LD1;CDC       ;CAISSE DES DEPOTS ET CON;NULL;V90;
V90 LD2;LD2;CDC LF    ;CDC LF                  ;NULL;V90;
